"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","test_multiple_clients_with_random_ids","tests","Sun Jan 26 20:25:06 UTC 2025","passed","Sun Jan 26 20:25:06 UTC 2025","","test_grpc_services","",""
"","1330","test_random_client_ids","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:06 UTC 2025","","test_grpc_services","",""
"","1","test_multiple_clients[client_1-Hello-connected]","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","5","test_concurrent_clients","tests","Sun Jan 26 20:25:06 UTC 2025","passed","Sun Jan 26 20:25:06 UTC 2025","","test_grpc_services","",""
"","2","test_send_hello","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","2","test_send_goodbye","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","1","test_multiple_clients[client_2-Goodbye-disconnected]","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","1","test_invalid_message","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","1","test_multiple_clients[client_3-Hello-connected]","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
"","3","test_get_all_client_statuses","tests","Sun Jan 26 20:25:05 UTC 2025","passed","Sun Jan 26 20:25:05 UTC 2025","","test_grpc_services","",""
